PC1             PC2                     
1.3432659849	0.0991021726
2.2121244407	1.3183136333
2.8352895932	-0.5580886998
3.0499445041	-2.0557211955
2.0883947377	-0.6806444593
1.019434744	0.0969026554
2.7692159934	-0.0486574134
2.1438000438	-4.7195895014
1.5190879417	-1.0848079525
1.8510292851	-0.6044834423
1.0472233727	0.2756097027
0.7295389342	-0.0095469348
0.6827156238	0.827028216
1.1289513049	1.5280383489
-0.3533670523	-1.3164919522
0.8831755364	-0.2336786583
1.7895031028	-0.4934205742
-1.7242976758	0.7238034261
-2.2163517836	1.2883407456
2.2714832698	-1.1758560984
0.5712212526	1.0650162202
-1.8817833767	-0.4393837106
1.6266756221	-0.8860290538
-0.5491938125	0.8552073903
0.5299447529	0.9888347067
-0.1580281844	1.2363302116
0.7448681433	0.2922501836
2.0094591222	0.8104552227
-0.2556975638	1.6273288216
1.1966992508	1.2336650052
-2.0846575645	-1.6259618301
-3.8295384501	-1.2981791824
0.5620712123	1.4763757207
1.9634986256	1.3054966796
-1.2427659464	-0.3363656259
-1.4360584148	-1.1074889545
2.3449968152	-1.5936446225
-2.606779054	-0.9149988561
-2.4710177334	-0.5985763331
-2.3184982517	-1.5551230002
-3.6517262267	-0.1054208823
-1.1107713227	0.0137422001
-3.6226668595	-5.7261381049
1.2606913367	-0.0196190294
0.8923255766	-0.6450381588
-0.8153057869	0.5340361873
0.9989446358	1.5135406445
1.1434116701	-0.5059308956
0.3401844612	1.0504664326
0.8161389686	1.5218481721
0.9249599095	1.0049407593
1.2282124954	-0.4406628061
0.789616416	1.7851352964
-0.2859882377	0.5428703536
3.3111505324	-0.2392692505
0.4155209184	1.3421580927
-1.8524357912	0.197370017
-1.4107048491	0.2231686204
1.0205965562	0.4612772187
-0.8092415451	1.2179986135
-4.0446752015	-0.250082123
-3.6034259409	0.7748138499
-3.8861004626	-0.6076319693
1.5798523117	-0.049453903
0.587661929	-0.0099391719
-2.9520731491	-1.8095839224
-0.1019643199	1.9913271782
-2.4274532462	1.9728974983
-1.9887213739	0.6519789536
1.798155267	-6.3798930436
-1.1163235469	4.4629027726
-1.2134234705	1.8148293886

